Sample_ID,Year,Country,Continent,NG_MAST,azm_mic,cip_mic,cfx_mic
ERR1549286,2015,UK,Europe,9768,512,NA,NA
ERR1549290,2015,UK,Europe,9768,512,NA,NA
ERR1549291,2015,UK,Europe,9768,512,NA,NA
ERR1549287,2015,UK,Europe,9768,512,NA,NA
ERR1549288,2015,UK,Europe,9768,512,NA,NA
ERR1549299,2015,UK,Europe,NA,512,NA,NA
ERR1549292,2015,UK,Europe,9768,512,NA,NA
ERR1549298,2015,UK,Europe,NA,0.5,NA,NA
ERR1549296,2015,UK,Europe,NA,0.5,NA,NA
ERR1549300,2015,UK,Europe,NA,512,NA,NA
ERR1549295,2015,UK,Europe,NA,0.75,NA,NA
ERR1549294,2015,UK,Europe,1407,0.75,NA,NA
ERR1549289,2015,UK,Europe,NA,0.75,NA,NA
ERR1549293,2015,UK,Europe,11836,512,NA,NA
SRR1661154,1996,Canada,America,10443,0.25,0.5,0.125
SRR1661156,1997,Canada,America,10476,0.25,16,0.063
SRR1661157,1998,Canada,America,10469,0.125,0.016,0.063
SRR1661158,2000,Canada,America,4138,0.25,0.5,0.25
SRR1661159,2001,Canada,America,8,0.063,0.063,0.001
SRR1661160,2001,Canada,America,-,0.125,0.004,0.004
SRR1661161,2001,Canada,America,4383,0.5,16,0.25
SRR1661162,2001,Canada,America,51,0.063,0.004,0.008
SRR1661163,2001,Canada,America,108,0.5,0.032,0.032
SRR1661164,2001,Canada,America,1424,0.5,64,0.25
SRR1661165,2001,Canada,America,84,0.25,0.25,0.032
SRR1661166,2001,Canada,America,4383,0.5,16,0.25
SRR1661167,2002,Canada,America,5,2,0.032,0.063
SRR1661169,2004,Canada,America,9022,0.063,0.004,0.004
SRR1661171,2005,Canada,America,25,0.063,0.004,0.004
SRR1661172,2005,Canada,America,210,0.125,0.008,0.004
SRR1661174,2005,Canada,America,225,0.063,8,0.032
SRR1661176,2005,Canada,America,1407,0.5,16,0.063
SRR1661177,2005,Canada,America,69,0.25,0.016,0.002
SRR1661178,2005,Canada,America,545,0.063,0.016,0.001
SRR1661179,2006,Canada,America,1056,0.25,1,0.063
SRR1661180,2006,Canada,America,2,0.032,0.004,0.004
SRR1661181,2006,Canada,America,4014,0.125,2,0.25
SRR1661182,2006,Canada,America,4014,0.125,2,0.25
SRR1661184,2006,Canada,America,3108,0.5,4,0.016
SRR1661185,2006,Canada,America,225,0.25,16,0.25
SRR1661186,2006,Canada,America,3108,0.25,4,0.016
SRR1661187,2006,Canada,America,1407,0.25,8,0.063
SRR1661188,2006,Canada,America,225,0.25,16,0.063
SRR1661189,2006,Canada,America,-,0.25,4,0.016
SRR1661191,2006,Canada,America,225,0.25,16,0.063
SRR1661192,2006,Canada,America,225,0.25,32,0.063
SRR1661193,2007,Canada,America,225,0.032,4,0.032
SRR1661194,2007,Canada,America,3565,0.25,0.016,0.125
SRR1661195,2007,Canada,America,-,0.25,64,0.5
SRR1661196,2008,Canada,America,-,0.5,16,0.125
SRR1661197,2007,Canada,America,1407,0.5,16,0.125
SRR1661198,2007,Canada,America,1407,0.5,16,0.125
SRR1661200,2008,Canada,America,1407,0.5,16,0.032
SRR1661201,2008,Canada,America,3158,0.5,16,0.25
SRR1661202,2008,Canada,America,3779,0.5,16,0.032
SRR1661203,2008,Canada,America,3158,0.5,16,0.125
SRR1661204,2008,Canada,America,225,0.5,32,0.125
SRR1661205,2008,Canada,America,225,0.5,16,0.125
SRR1661206,2008,Canada,America,3158,0.5,16,0.25
SRR1661208,2009,Canada,America,-,0.5,16,0.25
SRR1661209,2009,Canada,America,1407,16,16,0.063
SRR1661210,2009,Canada,America,1407,0.5,16,0.25
SRR1661212,2009,Canada,America,1407,0.5,16,0.25
SRR1661213,2009,Canada,America,1407,0.5,16,0.25
SRR1661214,2009,Canada,America,225,0.25,16,0.032
SRR1661215,2009,Canada,America,3149,0.25,8,0.125
SRR1661217,2009,Canada,America,1407,0.25,16,0.125
SRR1661218,2010,Canada,America,2992,0.25,0.125,0.032
SRR1661219,2010,Canada,America,25,0.032,0.002,0.008
SRR1661220,2010,Canada,America,1407,0.5,16,0.25
SRR1661221,2010,Canada,America,-,0.5,16,0.016
